"","race","frisk_rate"
"1","American Indian",0
"2","Asian",1.32
"3","Black - Latino",5.31
"4","Black - Non-Latino",4.1
"5","Unknown",4.21
"6","White - Latino",2.62
"7","White - Non-Latino",3.67
